Date,PRET_UBER,PRET_NASDAQ,PRET_LYFT
03.01.2023,25.360001,12031.87988,11.12
04.01.2023,25.91,11929.33984,11.49
05.01.2023,25.549999,12166.26953,11.36
06.01.2023,26.4,12123.46973,11.94
09.01.2023,27.4,12157.71973,12.7
10.01.2023,28.040001,12153.41016,13.31
11.01.2023,28.35,12157.23047,13.84
12.01.2023,29.030001,12059.55957,14.55
13.01.2023,29.440001,12072.45996,14.49
17.01.2023,29.200001,12037.2002,14.35
18.01.2023,28.959999,11799.16016,14.35
19.01.2023,29.030001,11854.34961,14.21
20.01.2023,30.360001,12142.24023,15.4
23.01.2023,30.530001,12226.58008,15.41
24.01.2023,29.93,12212.59961,15.3
25.01.2023,30.290001,12080.50977,15.86
26.01.2023,30.02,12025.33008,15.36
27.01.2023,30.360001,11966.40039,16.18
30.01.2023,29.629999,12235.41016,15.55
31.01.2023,30.93,12256.91992,16.25
01.02.2023,31.49,12179.54981,16.9
02.02.2023,33.049999,12306.44043,17.549999
03.02.2023,33.09,12328.50977,17.379999
06.02.2023,33.900002,12284.74023,17.35
07.02.2023,34.900002,12365.20996,17.93
08.02.2023,36.830002,12343.04981,16.75
09.02.2023,35.889999,12500.57031,16.219999
10.02.2023,34.299999,12688.83984,10.31
13.02.2023,33.439999,12657.90039,10.46
14.02.2023,35.23,12720.78027,10.76
15.02.2023,36.23,12560.25,11.5
16.02.2023,36.220001,12484.16016,10.99
17.02.2023,34.77,12698.08984,11.28
21.02.2023,34.200001,12975.69043,10.69
22.02.2023,34.540001,13017.42969,10.75
23.02.2023,34.470001,12935.29004,10.57
24.02.2023,33.400002,13100.98047,10.2
27.02.2023,33.549999,13240.76953,10
28.02.2023,33.259998,13229.42969,10
01.03.2023,32.990002,13276.41992,9.9
02.03.2023,33.689999,13104.90039,9.78
03.03.2023,34.57,13238.51953,10.12
06.03.2023,33.880001,13259.13965,9.75
07.03.2023,34.139999,13461.91992,9.88
08.03.2023,34.009998,13573.32031,9.8
09.03.2023,32.32,13626.48047,8.92
10.03.2023,31.110001,13782.82031,8.71
13.03.2023,30.82,13689.57031,8.46
14.03.2023,32.360001,13667.29004,8.51
15.03.2023,31.969999,13502.2002,8.99
16.03.2023,32.73,13630.61035,9.6
17.03.2023,31.780001,13492.51953,10.06
20.03.2023,31.93,13335.78027,9.93
21.03.2023,32.860001,13555.66992,10.46
22.03.2023,31.52,13591.75,9.96
23.03.2023,31.18,13591.33008,9.83
24.03.2023,30.75,13787.91992,9.87
27.03.2023,30.620001,13816.76953,9.6
28.03.2023,30.07,13791.65039,8.87
29.03.2023,30.870001,13679.04004,8.98
